game_id,season,week,gameday,weekday,gametime,away_team,away_name,home_team,home_name,matchup,matchup_short,spread_line,total_line,away_moneyline,home_moneyline,div_game,location,roof,surface,stadium,game_type,old_game_id,gsis,nfl_detail_id,pfr,pff,espn,ftn,away_rest,home_rest,away_spread_odds,home_spread_odds,under_odds,over_odds,temp,wind,away_qb_id,home_qb_id,away_qb_name,home_qb_name,away_coach,home_coach,referee,stadium_id,away_conference,home_conference,away_division,home_division
2026_03_ATL_GB,2026,3,2026-09-24,Thursday,20:15,ATL,Atlanta Falcons,GB,Green Bay Packers,Atlanta Falcons @ Green Bay Packers,ATL @ GB,6.0,43.5,235.0,-290.0,0,Home,outdoors,grass,Lambeau Field,REG,2026092400,N/A,N/A,202609240gnb,N/A,401872948,7051.0,4,4,-108.0,-112.0,-102.0,-118.0,N/A,N/A,00-0039917,00-0036264,Michael Penix Jr.,Jordan Love,Raheem Morris,Matt LaFleur,N/A,GNB00,NFC,NFC,South,North
2026_03_CAR_CLE,2026,3,2026-09-27,Sunday,13:00,CAR,Carolina Panthers,CLE,Cleveland Browns,Carolina Panthers @ Cleveland Browns,CAR @ CLE,-2.5,42.5,-148.0,124.0,0,Home,outdoors,grass,Huntington Bank Field,REG,2026092701,N/A,N/A,202609270cle,N/A,401872949,7053.0,7,7,-120.0,100.0,-112.0,-108.0,N/A,N/A,00-0039150,00-0033537,Bryce Young,Deshaun Watson,Dave Canales,Todd Monken,N/A,CLE00,NFC,AFC,South,North
2026_03_CIN_PIT,2026,3,2026-09-27,Sunday,13:00,CIN,Cincinnati Bengals,PIT,Pittsburgh Steelers,Cincinnati Bengals @ Pittsburgh Steelers,CIN @ PIT,-3.5,42.5,-185.0,154.0,1,Home,outdoors,grass,Acrisure Stadium,REG,2026092707,N/A,N/A,202609270pit,N/A,401872950,7059.0,7,7,-115.0,-105.0,-110.0,-110.0,N/A,N/A,00-0036442,00-0023459,Joe Burrow,Aaron Rodgers,Zac Taylor,Mike McCarthy,N/A,PIT00,AFC,AFC,North,North
2026_03_HOU_IND,2026,3,2026-09-27,Sunday,13:00,HOU,Houston Texans,IND,Indianapolis Colts,Houston Texans @ Indianapolis Colts,HOU @ IND,-2.5,43.5,-142.0,120.0,1,Home,N/A,fieldturf,Lucas Oil Stadium,REG,2026092703,N/A,N/A,202609270clt,N/A,401872951,7055.0,7,7,-115.0,-105.0,-110.0,-110.0,N/A,N/A,00-0039163,00-0035710,C.J. Stroud,Daniel Jones,DeMeco Ryans,Shane Steichen,N/A,IND00,AFC,AFC,South,South
2026_03_KC_MIA,2026,3,2026-09-27,Sunday,13:00,KC,Kansas City Chiefs,MIA,Miami Dolphins,Kansas City Chiefs @ Miami Dolphins,KC @ MIA,-11.5,46.5,-850.0,575.0,0,Home,outdoors,grass,Hard Rock Stadium,REG,2026092705,N/A,N/A,202609270mia,N/A,401872952,7057.0,7,7,-108.0,-112.0,-115.0,-105.0,N/A,N/A,00-0033873,00-0038128,Patrick Mahomes,Malik Willis,Andy Reid,Jeff Hafley,N/A,MIA00,AFC,AFC,West,East
2026_03_LAC_BUF,2026,3,2026-09-27,Sunday,13:00,LAC,Los Angeles Chargers,BUF,Buffalo Bills,Los Angeles Chargers @ Buffalo Bills,LAC @ BUF,7.0,50.5,270.0,-340.0,0,Home,outdoors,a_turf,Highmark Stadium,REG,2026092700,N/A,N/A,202609270buf,N/A,401872953,7052.0,7,10,-108.0,-112.0,-115.0,-105.0,N/A,N/A,00-0036355,00-0034857,Justin Herbert,Josh Allen,Jim Harbaugh,Sean McDermott,N/A,BUF00,AFC,AFC,West,East
2026_03_NE_JAX,2026,3,2026-09-27,Sunday,13:00,NE,New England Patriots,JAX,Jacksonville Jaguars,New England Patriots @ Jacksonville Jaguars,NE @ JAX,3.0,45.5,140.0,-166.0,0,Home,outdoors,grass,EverBank Stadium,REG,2026092704,N/A,N/A,202609270jax,N/A,401872957,7056.0,7,7,-112.0,-108.0,-108.0,-112.0,N/A,N/A,00-0039851,00-0036971,Drake Maye,Trevor Lawrence,Mike Vrabel,Liam Coen,N/A,JAX00,AFC,AFC,East,South
2026_03_NYJ_DET,2026,3,2026-09-27,Sunday,13:00,NYJ,New York Jets,DET,Detroit Lions,New York Jets @ Detroit Lions,NYJ @ DET,6.5,48.5,245.0,-305.0,0,Home,dome,fieldturf,Ford Field,REG,2026092702,N/A,N/A,202609270det,N/A,401872954,7054.0,7,10,-110.0,-110.0,-115.0,-105.0,N/A,N/A,00-0030565,00-0033106,Geno Smith,Jared Goff,Aaron Glenn,Dan Campbell,N/A,DET00,AFC,NFC,East,North
2026_03_SEA_WAS,2026,3,2026-09-27,Sunday,13:00,SEA,Seattle Seahawks,WAS,Washington Commanders,Seattle Seahawks @ Washington Commanders,SEA @ WAS,-7.0,40.5,-305.0,245.0,0,Home,outdoors,grass,Northwest Stadium,REG,2026092708,N/A,N/A,202609270was,N/A,401872955,7060.0,7,7,-108.0,-112.0,-118.0,-102.0,N/A,N/A,00-0035704,00-0039910,Drew Lock,Jayden Daniels,Mike Macdonald,Dan Quinn,N/A,WAS00,NFC,NFC,West,East
2026_03_TEN_NYG,2026,3,2026-09-27,Sunday,13:00,TEN,Tennessee Titans,NYG,New York Giants,Tennessee Titans @ New York Giants,TEN @ NYG,3.5,40.5,145.0,-175.0,0,Home,outdoors,fieldturf,MetLife Stadium,REG,2026092706,N/A,N/A,202609270nyg,N/A,401872956,7058.0,7,6,-115.0,-105.0,-112.0,-108.0,N/A,N/A,00-0040676,00-0040691,Cam Ward,Jaxson Dart,Robert Saleh,John Harbaugh,N/A,NYC01,AFC,NFC,South,East
2026_03_ARI_SF,2026,3,2026-09-27,Sunday,16:05,ARI,Arizona Cardinals,SF,San Francisco 49ers,Arizona Cardinals @ San Francisco 49ers,ARI @ SF,8.5,47.5,370.0,-485.0,1,Home,outdoors,grass,Levi's Stadium,REG,2026092709,N/A,N/A,202609270sfo,N/A,401872958,7061.0,7,7,-115.0,-105.0,-105.0,-115.0,N/A,N/A,00-0033119,00-0037834,Jacoby Brissett,Brock Purdy,Jonathan Gannon,Kyle Shanahan,N/A,SFO01,NFC,NFC,West,West
2026_03_MIN_TB,2026,3,2026-09-27,Sunday,16:05,MIN,Minnesota Vikings,TB,Tampa Bay Buccaneers,Minnesota Vikings @ Tampa Bay Buccaneers,MIN @ TB,-1.5,42.5,-120.0,100.0,0,Home,outdoors,grass,Raymond James Stadium,REG,2026092710,N/A,N/A,202609270tam,N/A,401872959,7062.0,7,7,-110.0,-110.0,-108.0,-112.0,N/A,N/A,00-0035228,00-0034855,Kyler Murray,Baker Mayfield,Kevin O'Connell,Todd Bowles,N/A,TAM00,NFC,NFC,North,South
2026_03_BAL_DAL,2026,3,2026-09-27,Sunday,16:25,BAL,Baltimore Ravens,DAL,Dallas Cowboys,Baltimore Ravens @ Dallas Cowboys,BAL @ DAL,-3.0,52.5,-155.0,130.0,0,Neutral,N/A,matrixturf,Maracana Stadium,REG,2026092711,N/A,N/A,202609270dal,N/A,401872960,7063.0,7,7,-110.0,-110.0,-108.0,-112.0,N/A,N/A,00-0034796,00-0033077,Lamar Jackson,Dak Prescott,Jesse Minter,Brian Schottenheimer,N/A,RIO00,AFC,NFC,North,East
2026_03_LV_NO,2026,3,2026-09-27,Sunday,16:25,LV,Las Vegas Raiders,NO,New Orleans Saints,Las Vegas Raiders @ New Orleans Saints,LV @ NO,3.0,43.5,145.0,-175.0,0,Home,dome,sportturf,Caesars Superdome,REG,2026092712,N/A,N/A,202609270nor,N/A,401872961,7064.0,7,7,100.0,-120.0,-108.0,-112.0,N/A,N/A,00-0029604,00-0040743,Kirk Cousins,Tyler Shough,Klint Kubliak,Kellen Moore,N/A,NOR00,AFC,NFC,West,South
2026_03_LA_DEN,2026,3,2026-09-27,Sunday,20:20,LA,Los Angeles Rams,DEN,Denver Broncos,Los Angeles Rams @ Denver Broncos,LA @ DEN,-2.5,45.5,-135.0,114.0,0,Home,outdoors,grass,Empower Field at Mile High,REG,2026092713,N/A,N/A,202609270den,N/A,401872962,7065.0,6,7,-110.0,-110.0,-110.0,-110.0,N/A,N/A,00-0026498,00-0039732,Matthew Stafford,Bo Nix,Sean McVay,Sean Payton,N/A,DEN00,NFC,AFC,West,West
2026_03_PHI_CHI,2026,3,2026-09-28,Monday,20:15,PHI,Philadelphia Eagles,CHI,Chicago Bears,Philadelphia Eagles @ Chicago Bears,PHI @ CHI,-3.0,43.5,-170.0,142.0,0,Home,outdoors,grass,Soldier Field,REG,2026092800,N/A,N/A,202609280chi,N/A,401872963,7066.0,8,8,-112.0,-108.0,-110.0,-110.0,N/A,N/A,00-0036389,00-0038416,Jalen Hurts,Tyson Bagent,Nick Sirianni,Ben Johnson,N/A,CHI98,NFC,NFC,East,North
